[2025-07-08T02:16:35.656Z] 提问：模糊查询会不会很慢？
[2025-07-08T02:19:11.819Z] 提问：你会用视图吗？
[2025-07-08T02:21:37.407Z] 提问：怎么优化一条慢SQL？
[2025-07-08T02:23:46.316Z] 提问：主键自增和UUID你更喜欢哪个？
[2025-07-08T02:25:54.355Z] 提问：MySQL和PostgreSQL有什么区别？
[2025-07-08T02:27:58.474Z] 提问：你觉得数据库调优难吗？
[2025-07-08T02:30:34.139Z] 提问：你觉得范式重要吗？
[2025-07-08T05:33:40.777Z] 提问：Redis和Memcached有啥区别？
[2025-07-08T05:36:10.393Z] 提问：你会怎么做数据清洗？
[2025-07-08T05:38:53.449Z] 提问：数据库升级要注意什么？
[2025-07-08T05:41:48.858Z] 提问：ORM框架会拖慢速度吗？
[2025-07-08T05:44:40.310Z] 提问：数据库表设计时最容易犯什么错？
[2025-07-08T05:47:31.987Z] 提问：聚合查询常用吗？
[2025-07-08T05:50:22.627Z] 提问：你觉得数据库未来会怎么发展？
[2025-07-08T05:52:22.144Z] 提问：同步数据和异步数据有啥区别？
[2025-07-08T05:54:31.253Z] 提问：数据库日志有什么用？
[2025-07-08T05:57:13.541Z] 提问：你最常用的SQL语句是哪条？
[2025-07-08T05:59:46.640Z] 提问：怎么保证数据一致性？
