[2025-07-02T06:56:05.786Z] 提问：什么是AUC值？
[2025-07-02T06:58:16.062Z] 提问：如何判断数组？
[2025-07-02T07:00:16.229Z] 提问：什么是WeakMap和WeakSet？
[2025-07-02T07:06:04.597Z] 提问：Vue项目怎么做路由管理？
[2025-07-02T07:08:13.897Z] 提问：props和emit怎么用？
[2025-07-02T07:10:10.629Z] 提问：Vue项目怎么做国际化？
[2025-07-02T07:12:04.439Z] 提问：v-if和v-show的区别是什么？
[2025-07-02T07:14:06.739Z] 提问：你喜欢用Vue的哪个版本？
[2025-07-02T07:15:35.170Z] 提问：怎么封装一个通用组件？
[2025-07-02T07:18:09.066Z] 提问：Vue的生命周期有哪些？
[2025-07-02T07:20:30.708Z] 提问：setup函数里能做什么？
[2025-07-02T07:22:55.975Z] 提问：怎么用v-for渲染列表？
[2025-07-02T07:25:28.491Z] 提问：Vue如何和后端接口对接？
[2025-07-02T07:27:15.454Z] 提问：你叫什么名字？
